Tarih;Gün;Reklam Hesabı;Günlük Bütçe (Bağlam);Gerçekleşen Harcama;Bütçe Kullanımı % (Bilgi);7 Günlük Tipik Harcama;Normal Harcama Oranı %;Harcama Yapan Set;Medyan Set;Set Kapsama %;Eşzamanlı Hesap;Ham Sinyal;Yorum;Tahmini Harcama Açığı;Tamamlanmış Gün
2026-07-01;Çarşamba;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;53274.31;0.980208095676173;43386.455;1.2279018878126824;101;112.5;0.8977777777777778;0;Normal;Normal;0;Evet
2026-07-01;Çarşamba;Doruk Hospital;82500;41826.3;0.5069854545454546;57268.65;0.730352470330626;12;12;1;0;Normal;Normal;15442.349999999999;Evet
2026-07-02;Perşembe;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;48436.72;0.8912;43386.455;1.116401881647164;102;112.5;0.9066666666666666;0;Normal;Normal;0;Evet
2026-07-02;Perşembe;Doruk Hospital;82500;81925.2;0.9930327272727273;57268.65;1.4305418409548678;12;12;1;0;Normal;Normal;0;Evet
2026-07-03;Cuma;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;49637.11;0.9132862925482981;43386.455;1.144069272310909;102;112.5;0.9066666666666666;0;Normal;Normal;0;Evet
2026-07-03;Cuma;Doruk Hospital;82500;45418.31;0.5505249696969696;57268.65;0.7930745704674372;12;12;1;0;Normal;Normal;11850.340000000004;Evet
2026-07-04;Cumartesi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;48869.7;0.8991665133394664;49637.11;0.9845395914468026;102;112.5;0.9066666666666666;1;Normal;Normal;767.4100000000035;Evet
2026-07-04;Cumartesi;Doruk Hospital;82500;0;0;45418.31;0;0;12;0;1;Yüksek;Yüksek: Ödeme/teslimat kesintisi adayı;45418.31;Evet
2026-07-05;Pazar;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;27578.71;0.5074279668813247;49253.405;0.5599350948426814;102;112.5;0.9066666666666666;1;Normal;Normal;21674.695;Evet
2026-07-05;Pazar;Doruk Hospital;82500;0;0;45418.31;0;0;12;0;1;Yüksek;Yüksek: Ödeme/teslimat kesintisi adayı;45418.31;Evet
2026-07-06;Pazartesi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;11987.13;0.220554369825207;48869.7;0.2452875708260947;102;112.5;0.9066666666666666;1;Orta;Yüksek: Ödeme/teslimat kesintisi adayı;36882.57;Evet
2026-07-06;Pazartesi;Doruk Hospital;82500;49355.87;0.5982529696969697;45418.31;1.0866954318643738;12;12;1;1;Normal;Normal;0;Evet
2026-07-07;Salı;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;54350;0;0;48653.21;0;0;112.5;0;2;Yüksek;Yüksek: Ödeme/teslimat kesintisi adayı;48653.21;Evet
