Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Temmuz 2026;Yabancı;Rusça;Bilinirlik / İzlenme / Trafik;Onkoloji;Doruk Hospital;TRY;Instagram gönderisi: Аппарат TrueBeam — одна из...;​120242709752170080;ACTIVE;Instagram gönderisi: Аппарат TrueBeam — одна из...;​120242709752580080;ACTIVE;VISIT_INSTAGRAM_PROFILE;4000;0;0;0;75159.75;1605488;904980;29996;0;0;0;49;357355
Ağustos 2026;Yabancı;Rusça;Bilinirlik / İzlenme / Trafik;Onkoloji;Doruk Hospital;TRY;Instagram gönderisi: Аппарат TrueBeam — одна из...;​120242709752170080;ACTIVE;Instagram gönderisi: Аппарат TrueBeam — одна из...;​120242709752580080;ACTIVE;VISIT_INSTAGRAM_PROFILE;4000;0;0;0;16694.04;307281;261345;7427;0;0;0;7;80129
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - kazakistan - kombine2;​120238630159690080;ACTIVE;LEAD_GENERATION;0;0;9000;0;186491.28;583668;299811;4970;152;0;152;52;92090
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - kazakistan - kombine2;​120238630159690080;ACTIVE;LEAD_GENERATION;0;0;9000;0;39338.17;147024;114541;1105;20;0;20;3;21658
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - Kırgızistan,Tacikistan- kombine2 - iOS hedefli - Kopya;​120241183408140080;ACTIVE;LEAD_GENERATION;0;0;3000;0;58285.29;855370;276489;6153;41;0;41;20;101111
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - Kırgızistan,Tacikistan- kombine2 - iOS hedefli - Kopya;​120241183408140080;ACTIVE;LEAD_GENERATION;0;0;3000;0;13001.13;232155;150891;1515;6;0;6;3;22797
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - Kırgızistan,Tacikistan,Belarus,Gürcistan - kombine2 - Android hedefli - Kopya - Kopya;​120241183620740080;ACTIVE;LEAD_GENERATION;0;0;3000;0;58033.3;624731;151202;4219;16;0;16;11;84882
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - Kırgızistan,Tacikistan,Belarus,Gürcistan - kombine2 - Android hedefli - Kopya - Kopya;​120241183620740080;ACTIVE;LEAD_GENERATION;0;0;3000;0;13133.61;154098;79320;1118;4;0;4;3;20752
Temmuz 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - özbekistan - kombine2 - Android hedefli - Kopya;​120241183245540080;ACTIVE;LEAD_GENERATION;0;0;2500;0;52245.49;443643;145388;2784;35;0;35;6;54953
Ağustos 2026;Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;TRY;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;FTR - genel - lead - cold - özbekistan - kombine2 - Android hedefli - Kopya;​120241183245540080;ACTIVE;LEAD_GENERATION;0;0;2500;0;12907.94;134090;80156;789;4;0;4;0;15415
