Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Kampanya;Kampanya ID;Durum;Bütçe Seviyesi;Günlük Bütçe;Ömür Boyu Bütçe;Temmuz Harcama;Ağustos Harcama;Toplam Harcama;Grup İçi Harcama Payı %;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme;CPL;Reklam Seti Sayısı;Branş;Kampanya / Hizmet;Ülke / Bölge;Dil Kodu
Yabancı;Rusça;Bilinirlik / İzlenme / Trafik;İçerik / Gönderi;Doruk Hospital;Instagram Gönderi Öne Çıkarma Kampanyası;​BIRLESTIRILMIS_INSTAGRAM_YABANCI;BİRLEŞTİRİLMİŞ;Birleştirilmiş;4000;0;75159.75;16694.04;91853.79000000001;;0;0;0;56;437484;;1;İçerik / Gönderi;Instagram Gönderi Öne Çıkarma Kampanyası;Belirsiz / Genel;RU
Yabancı;Rusça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;Fizik Tedavi - Intensive FTR - Türki Cumhuriyetler - Tümü - RU - Lechenie v Turtsii - lead;​120232382033210080;ACTIVE;Reklam Seti;23000;0;470492.80000000005;104373.25;574866.05;;392;0;392;117;512908;;19;Fizik Tedavi;Intensive Fizik Tedavi;Türki Cumhuriyetler;RU
Yabancı;Arapça;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hospital;Whatsapp - Fizik Tedavi - Intensive FTR - Arap Bölgesi - Tümü - AR - Doruk İlaj Turkia;​120238651325780080;ACTIVE;Reklam Seti;25000;0;500132.54999999993;111114.19;611246.74;;0;717;717;717;491359;;17;Fizik Tedavi;Intensive Fizik Tedavi;Arap Bölgesi;AR
Yabancı;Arapça;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;Meme Estetiği - Jinekomasti - Arap Bölgesi - Tümü - AR - Doruk Jinekomasti;​120247623884690080;PAUSED;Reklam Seti;0;0;3902.07;11740.74;15642.81;;62;64;126;64;20177;;1;Medikal Estetik / Plastik Cerrahi;Jinekomasti;Arap Bölgesi;AR
Yabancı;İngilizce;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hospital;Meme Estetiği - Jinekomasti - Birleşik Krallık - Tümü - EN - Doruk Jinekomasti;​120247571768010080;PAUSED;Reklam Seti;0;0;7124.92;8098.5;15223.42;;47;0;47;0;6116;;1;Medikal Estetik / Plastik Cerrahi;Jinekomasti;Birleşik Krallık;EN
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Gebe-Doğum Bilinirlik;​120247034876600399;ACTIVE;Reklam Seti;1000;0;22253.08;4848.85;27101.93;;0;0;0;0;197838;;1;Doğum Kampanyası;Gebe-Doğum Bilinirlik;Türkiye;TR
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Doktor - Bilinirlik Kampanyası - Çekirge;​120255763855030399;ACTIVE;Reklam Seti;2200;0;12218.210000000001;9978.580000000002;22196.79;;0;0;0;0;134335;;22;Doktor Kampanyası;Doktor - Bilinirlik Kampanyası - Çekirge;Türkiye;TR
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;Reklam Seti;5300;0;123147.00000000003;24556.92999999999;147703.93000000002;;0;0;0;1;677252;;53;Doktor Kampanyası;Doktor - Bilinirlik Kampanyası - Nilüfer;Türkiye;TR
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;Reklam Seti;2800;0;34880.340000000004;12420.970000000001;47301.310000000005;;0;0;0;2;284329;;28;Doktor Kampanyası;Doktor - Bilinirlik Kampanyası - Yıldırım;Türkiye;TR
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;İçerik / Gönderi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Instagram Gönderi Öne Çıkarma Kampanyası;​BIRLESTIRILMIS_INSTAGRAM_YERLI;BİRLEŞTİRİLMİŞ;Birleştirilmiş;19500;0;232805.39;38714.06;271519.45;;0;0;0;45;1096896;;17;İçerik / Gönderi;Instagram Gönderi Öne Çıkarma Kampanyası;Türkiye;TR
Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Marka / Kurumsal;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ÖSS-TSS - marka bilinirliği;​120246924981440399;ACTIVE;Reklam Seti;2000;0;43225.72;9690.48;52916.2;;0;0;0;13;190874;;2;Marka / Kurumsal;ÖSS-TSS - marka bilinirliği;Türkiye;TR
Yerli;Türkçe;Lead;Check-up;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Checkup - genel - lead;​120220089108220399;ACTIVE;Reklam Seti;1000;0;21532.59;4630.280000000001;26162.870000000003;;74;0;74;69;27593;;9;Check-up;Checkup - genel - lead;Türkiye;TR
Yerli;Türkçe;Lead;Check-up;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Prostat Checkup - lead;​120251414264130399;ACTIVE;Reklam Seti;500;0;11901.29;2634.22;14535.51;;105;0;105;103;9026;;1;Check-up;Prostat Checkup - lead;Türkiye;TR
Yerli;Türkçe;Lead;Diğer / Sınıflandırılacak;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Baş Dönmesi ve Denge Ünitesi / lead;​120214167265870399;ACTIVE;Reklam Seti;350;0;8115.76;1664.84;9780.6;;79;0;79;73;16873;;1;Diğer / Sınıflandırılacak;Baş Dönmesi ve Denge Ünitesi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Doğum Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Gebe-Doğum Form Kampanyası;​120242415465180399;ACTIVE;Reklam Seti;7000;0;160130.56;36237.03;196367.59;;613;0;613;74;91534;;3;Doğum Kampanyası;Gebe-Doğum Form Kampanyası;Türkiye;TR
Yerli;Türkçe;Lead;Fizik Tedavi / Rehabilitasyon;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;FTR Yatılı - lead;​120246476228800399;ACTIVE;Reklam Seti;4000;0;90669.2;20625.16;111294.36;;163;0;163;33;245450;;3;Fizik Tedavi / Rehabilitasyon;FTR Yatılı - lead;Türkiye;TR
Yerli;Türkçe;Lead;İnsan Kaynakları;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Hemşire İş Başvuru - lead;​120246691590090399;ACTIVE;Reklam Seti;1000;0;22618.18;4948.45;27566.63;;77;0;77;73;0;;1;İnsan Kaynakları;Hemşire İş Başvuru - lead;Türkiye;TR
Yerli;Türkçe;Lead;İnsan Kaynakları;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;Uzman Hekim Başvuru;​120244050701710399;ACTIVE;Kampanya;1000;0;22472.44;4623.19;27095.629999999997;;140;0;140;3;0;;1;İnsan Kaynakları;Uzman Hekim Başvuru;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Göz Kapağı Estetiği / plastik cerrahi / lead;​120211731920800399;ACTIVE;Reklam Seti;300;0;6070.59;1101.94;7172.530000000001;;24;0;24;5;0;;1;Medikal Estetik / Plastik Cerrahi;ABO / Göz Kapağı Estetiği / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Medikal Estetik lead / 16.04.2026;​120248812698040399;ACTIVE;Reklam Seti;2400;0;56408.89;12353.61;68762.5;;613;0;613;637;70717;;8;Medikal Estetik / Plastik Cerrahi;ABO / Medikal Estetik lead / 16.04.2026;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Meme Estetiği / plastik cerrahi / lead;​120211732311210399;ACTIVE;Reklam Seti;1000;0;19798.39;3667.96;23466.35;;64;0;64;7;0;;1;Medikal Estetik / Plastik Cerrahi;ABO / Meme Estetiği / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Rinoplasti / plastik cerrahi / lead;​120211732654260399;ACTIVE;Reklam Seti;800;0;16042.89;3131.81;19174.7;;27;0;27;4;0;;1;Medikal Estetik / Plastik Cerrahi;ABO / Rinoplasti / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Vücut Şekillendirme / plastik cerrahi / lead;​120211732712890399;ACTIVE;Reklam Seti;300;0;6204.61;1227.74;7432.349999999999;;35;0;35;5;0;;1;Medikal Estetik / Plastik Cerrahi;ABO / Vücut Şekillendirme / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO / Yüz Germe (Facelift) / plastik cerrahi / lead;​120211732754080399;ACTIVE;Reklam Seti;300;0;6137.23;1215.68;7352.91;;13;0;13;3;0;;1;Medikal Estetik / Plastik Cerrahi;ABO / Yüz Germe (Facelift) / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO /Jinekomasti / plastik cerrahi / lead;​120211732618490399;ACTIVE;Reklam Seti;300;0;6006.43;1147.2;7153.63;;21;0;21;1;0;;1;Medikal Estetik / Plastik Cerrahi;ABO /Jinekomasti / plastik cerrahi / lead;Türkiye;TR
Yerli;Türkçe;Lead;Medikal Estetik / Plastik Cerrahi;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;ABO /Kepçe Kulak / plastik cerrahi / lead;​120211732243050399;ACTIVE;Reklam Seti;300;0;5981.94;1112.14;7094.08;;29;0;29;3;0;;1;Medikal Estetik / Plastik Cerrahi;ABO /Kepçe Kulak / plastik cerrahi / lead;Türkiye;TR
