Reklam Hesabı;Başlangıç;Bitiş;Süre (Gün);Güven;Sınıflandırma;Günlük Bütçe (Bağlam);Ortalama Harcama;Minimum Harcama;Min. Normal Harcama Oranı %;Tahmini Harcama Açığı;Eşzamanlı Hesap;Önce/Sonra Toparlanma;Gerekçe
Doruk Hospital;2026-07-04;2026-07-05;2;Yüksek;Ödeme/teslimat kesintisi adayı;82500;0;0;0;90836.62;1;Önce ✓ / Sonra ✓;2 ardışık gün düşük/sıfır teslimat.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-06;2026-07-07;2;Yüksek;Ödeme/teslimat kesintisi adayı;54350;5993.565;0;0;85535.78;2;Önce ✓ / Sonra ✓;2 ardışık gün düşük/sıfır teslimat.
Doruk Hospital;2026-07-07;2026-07-07;1;Yüksek;Ödeme/teslimat kesintisi adayı;82500;648.17;648.17;0.013678198007094338;46738.92;2;Önce ✓ / Sonra ✓;Aynı gün birden fazla reklam hesabında çöküş.
Doruk Hospital;2026-07-09;2026-07-09;1;Yüksek;Ödeme/teslimat kesintisi adayı;82500;0;0;0;45418.31;1;Önce ✓ / Sonra ✓;Normal harcama arasında ani sıfır/çok düşük gün.
Doruk Hospital;2026-07-11;2026-07-12;2;Yüksek;Ödeme/teslimat kesintisi adayı;82500;0;0;0;89685.1;2;Önce ✓ / Sonra ✓;2 ardışık gün düşük/sıfır teslimat.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-12;2026-07-12;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;28455.129999999997;2;Önce – / Sonra ✓;Aynı gün birden fazla reklam hesabında çöküş.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-19;2026-07-19;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;43386.455;1;Önce ✓ / Sonra ✓;"Reklamlar pazar günü de sürekli yayında; normal harcama arasında sıfır pazar günü."
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-21;2026-07-21;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;9020.49;9020.49;0.2306517475651198;30088.21;2;Önce ✓ / Sonra ✓;Aynı gün birden fazla reklam hesabında çöküş.
Doruk Hospital;2026-07-21;2026-07-27;7;Yüksek;Ödeme/teslimat kesintisi adayı;82500;1055.32;0;0;407003.26;2;Önce ✓ / Sonra ✓;7 ardışık gün düşük/sıfır teslimat.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-26;2026-07-26;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;32358.67;2;Önce ✓ / Sonra ✓;Aynı gün birden fazla reklam hesabında çöküş.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-07-31;2026-07-31;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;2440.49;2440.49;0.04848282696665418;47896.715000000004;1;Önce ✓ / Sonra ✓;Normal harcama arasında ani sıfır/çok düşük gün.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-08-02;2026-08-03;2;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;100674.41;2;Önce ✓ / Sonra ✓;2 ardışık gün düşük/sıfır teslimat.
Doruk Hospital;2026-08-03;2026-08-05;3;Yüksek;Ödeme/teslimat kesintisi adayı;82500;0;0;0;204976.87;2;Önce ✓ / Sonra –;3 ardışık gün düşük/sıfır teslimat.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-08-06;2026-08-06;1;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;54319.94;1;Önce ✓ / Sonra ✓;Normal harcama arasında ani sıfır/çok düşük gün.
Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;2026-08-08;2026-08-09;2;Yüksek;Ödeme/teslimat kesintisi adayı;54350;0;0;0;103198.6;2;Önce ✓ / Sonra –;2 ardışık gün düşük/sıfır teslimat.
Doruk Hospital;2026-08-08;2026-08-09;2;Yüksek;Ödeme/teslimat kesintisi adayı;82500;1226.345;0;0;103682.285;2;Önce ✓ / Sonra –;2 ardışık gün düşük/sıfır teslimat.
