"hesap";"ham_meta_adi";"meta_kampanya_id";"durum";"meta_amaci";"ana_hat_oneri";"alt_hat_oneri";"pazar_oneri";"kampanya_ailesi_oneri";"hizmet_alani_oneri";"hareket_turu_oneri";"dil_oneri";"teknik_yapi_oneri";"cta_seti_canli";"aktif_reklam_sayisi";"kunye_kaniti";"insan_notu";"degisiklik_modu"
"Doruk Tibbi Bilgiler";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"OUTCOME_LEADS";"hasta_edinimi";"estetik_hizmet";"yerli";"estetik_hizmet";"medikal_estetik_ve_plastik_cerrahi";"lead_edinimi";"TR";"belirsiz";"bilinmiyor";"51";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Whatsapp - Estetik - Rinoplasti - Birleşik Krallık - Genel - EN - Etkileşim";"52545936477224";"PAUSED";"OUTCOME_ENGAGEMENT";"gorunurluk_ve_isitma";"estetik_hizmet";"yerli";"estetik_hizmet";"medikal_estetik_ve_plastik_cerrahi";"etkilesim";"TR";"belirsiz";"bilinmiyor";"5";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"52545923403424";"PAUSED";"OUTCOME_LEADS";"hasta_edinimi";"estetik_hizmet";"yerli";"estetik_hizmet";"medikal_estetik_ve_plastik_cerrahi";"lead_edinimi";"TR";"belirsiz";"bilinmiyor";"28";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"52545823354024";"PAUSED";"OUTCOME_LEADS";"hasta_edinimi";"estetik_hizmet";"yabanci";"estetik_hizmet";"medikal_estetik_ve_plastik_cerrahi";"lead_edinimi";"AR";"belirsiz";"bilinmiyor";"25";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: Rhinoplasty aims to achieve...";"52542847377024";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: True rhinoplasty balances...";"52542428196224";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: True rhinoplasty balances...";"52542427892224";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: True rhinoplasty balances...";"52542424976624";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: True rhinoplasty balances...";"52542424143424";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
"Doruk Tibbi Bilgiler";"Instagram gönderisi: True rhinoplasty balances...";"52542423175824";"PAUSED";"LINK_CLICKS";"gorunurluk_ve_isitma";"yerli_hizmet";"yerli";"diger";"belirsiz";"icerik_tiklamasi";"TR";"belirsiz";"bilinmiyor";"1";"isim + canli_meta";"";"yalniz_oneri"
