"hesap";"ham_meta_adi";"meta_reklam_seti_id";"kampanya_ham_adi";"meta_kampanya_id";"durum";"optimizasyon";"gunluk_butce_minor";"hedef_ulke_kodlari";"hedef_isletim_sistemi";"publisher_platform";"hedefleme_bolumu_oneri";"hedef_kitle_stratejisi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Amerika - EN - iOS";"52668195120224";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"LEAD_GENERATION";"250000";"US";"ios";"bilinmiyor";"ulke + isletim_sistemi";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"52668194801224";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"LEAD_GENERATION";"250000";"NZ";"ios";"bilinmiyor";"ulke + isletim_sistemi";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"52668194669024";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"LEAD_GENERATION";"250000";"NZ";"ios";"bilinmiyor";"ulke + isletim_sistemi";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"52668194299624";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"LEAD_GENERATION";"250000";"AU";"ios";"bilinmiyor";"ulke + isletim_sistemi";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Kanada - EN - iOS";"52668193170624";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"PAUSED";"LEAD_GENERATION";"250000";"CA";"ios";"bilinmiyor";"ulke + isletim_sistemi";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Kanada - EN";"52668192582224";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"CAMPAIGN_PAUSED";"LEAD_GENERATION";"250000";"CA";"bilinmiyor";"bilinmiyor";"ulke";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Avusturalya - EN";"52668192053424";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"CAMPAIGN_PAUSED";"LEAD_GENERATION";"250000";"AU";"bilinmiyor";"bilinmiyor";"ulke";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Birleşik Krallık - EN";"52668191685824";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"CAMPAIGN_PAUSED";"LEAD_GENERATION";"250000";"NZ";"bilinmiyor";"bilinmiyor";"ulke";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Yeni Zellanda - EN";"52668190717024";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"CAMPAIGN_PAUSED";"LEAD_GENERATION";"250000";"NZ";"bilinmiyor";"bilinmiyor";"ulke";"";"canli_hedefleme";""
"Doruk Tibbi Bilgiler";"Jinekomasti - Erkek - Amerika - EN";"52668153437024";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"52668153439824";"CAMPAIGN_PAUSED";"LEAD_GENERATION";"250000";"US";"bilinmiyor";"bilinmiyor";"ulke";"";"canli_hedefleme";""
