"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"video-1";"52668191685624";"Jinekomasti - Erkek - Birleşik Krallık - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668162629824";"Jinekomasti - Erkek - Amerika - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668192054424";"Jinekomasti - Erkek - Avusturalya - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Revize - 1";"52669968966224";"Jinekomasti - Erkek - Amerika - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668192581424";"Jinekomasti - Erkek - Kanada - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668192053824";"Jinekomasti - Erkek - Avusturalya - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668190716624";"Jinekomasti - Erkek - Yeni Zellanda - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668191684824";"Jinekomasti - Erkek - Birleşik Krallık - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668191685424";"Jinekomasti - Erkek - Birleşik Krallık - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668190716424";"Jinekomasti - Erkek - Yeni Zellanda - EN";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
